,categories,name,prices,site,url
2455,['indica'],God’s Green Crack,"[['1 gram', '$11'], ['3.5 grams', '$38'], ['7 grams', '$65'], ['14 grams', '$130'], ['28 grams', '$250']]",herbaldispatch.com,https://herbaldispatch.com/product/gods-green-crack-2/
2456,['indica'],Gorilla Glue #4 (Organic),"[['1 gram', '$10'], ['3.5 grams', '$35'], ['7 grams', '$65'], ['14 grams', '$125'], ['28 grams', '$240']]",herbaldispatch.com,https://herbaldispatch.com/product/gorilla-glue-4/
2457,['indica'],Granddaddy Purple,"[['1 gram', '$9'], ['3.5 grams', '$30'], ['7 grams', '$60'], ['14 grams', '$115'], ['28 grams', '$220']]",herbaldispatch.com,https://herbaldispatch.com/product/granddaddy-purple/
2458,['indica'],Grape God,"[['1 gram', '$9'], ['3.5 grams', '$30'], ['7 grams', '$60'], ['14 grams', '$115'], ['28 grams', '$220']]",herbaldispatch.com,https://herbaldispatch.com/product/grape-god/
2459,['sativa'],Grapefruit,"[['1 gram', '$10'], ['3.5 grams', '$35'], ['7 grams', '$65'], ['14 grams', '$125'], ['28 grams', '$240']]",herbaldispatch.com,https://herbaldispatch.com/product/grapefruit/
2460,['indica'],Grease Monkey,"[['1 gram', '$11'], ['3.5 grams', '$38'], ['7 grams', '$70'], ['14 grams', '$130'], ['28 grams', '$250']]",herbaldispatch.com,https://herbaldispatch.com/product/grease-monkey/
2461,['sativa'],Great White Shark,"[['1 gram', '$11'], ['3.5 grams', '$38'], ['7 grams', '$70'], ['14 grams', '$130'], ['28 grams', '$250']]",herbaldispatch.com,https://herbaldispatch.com/product/great-white-shark-2/
2462,['sativa'],Great White Shark,"[['1 gram', '$9'], ['3.5 grams', '$30'], ['7 grams', '$60'], ['14 grams', '$115'], ['28 grams', '$220']]",herbaldispatch.com,https://herbaldispatch.com/product/great-white-shark/
2463,['sativa'],Green Crack,"[['1 gram', '$9'], ['3.5 grams', '$30'], ['7 grams', '$60'], ['14 grams', '$110'], ['28 grams', '$220']]",herbaldispatch.com,https://herbaldispatch.com/product/green-crack-2/
2464,['sativa'],Hawaiian,"[['1 gram', '$9'], ['3.5 grams', '$30'], ['7 grams', '$60'], ['14 grams', '$115'], ['28 grams', '$220']]",herbaldispatch.com,https://herbaldispatch.com/product/hawaiian/
2465,['indica'],Headband Kush,"[['1 gram', '$9'], ['3.5 grams', '$30'], ['7 grams', '$60'], ['14 grams', '$115'], ['28 grams', '$220']]",herbaldispatch.com,https://herbaldispatch.com/product/headband-kush/
2466,['indica'],Hindu Kush,"[['1 gram', '$8'], ['3.5 grams', '$28'], ['7 grams', '$55'], ['14 grams', '$110'], ['28 grams', '$210']]",herbaldispatch.com,https://herbaldispatch.com/product/hindu-kush-2/
2467,['indica'],Holy Grail Kush,"[['1 gram', '$10'], ['3.5 grams', '$35'], ['7 grams', '$65'], ['14 grams', '$125'], ['28 grams', '$240']]",herbaldispatch.com,https://herbaldispatch.com/product/holy-grail-kush/
2468,['sativa'],Jack Herer,"[['1 gram', '$9'], ['3.5 grams', '$30'], ['7 grams', '$60'], ['14 grams', '$110'], ['28 grams', '$220']]",herbaldispatch.com,https://herbaldispatch.com/product/jack-herer/
2469,['sativa'],Jolly Rancher,"[['1 gram', '$10'], ['3.5 grams', '$35'], ['7 grams', '$65'], ['14 grams', '$125'], ['28 grams', '$240']]",herbaldispatch.com,https://herbaldispatch.com/product/jolly-rancher/
